id;name;category;duration_min;difficulty;physical_intensity;requires_morning;requires_silence;max_completions_per_day;habit_min_streak_days;habit_min_score;steps;contraindications;benefits;tags
141;Самавритти пранаяма;yoga;4;2;low;false;false;1;21;70;Сядь удобно с прямой спиной | Дыши через нос с равными вдохом и выдохом | Например, 4 счёта вдох, 4 счёта выдох | Сохраняй ровный ритм 5-10 минут | Без напряжения;none;Балансирует нервную систему, успокаивает ум, улучшает концентрацию, развивает ровность дыхания, подходит для медитации.;breath,balance,calmness,focus,meditation
142;Вишама-вритти (удлинённый выдох);yoga;5;2;low;false;false;1;21;70;Сядь удобно | Дыши через нос, делая выдох длиннее вдоха | Например, вдох 4 счёта, выдох 6-8 счётов | Продолжай 5-10 минут | Без напряжения в груди;none;Активирует парасимпатическую нервную систему, глубоко успокаивает, снижает тревогу, улучшает сон, готовит к расслаблению.;breath,relaxation,calmness,sleep,nervous_system
143;Бхрамари (дыхание пчелы);yoga;8;2;low;false;false;1;21;70;Сядь удобно, закрой глаза | Вдохни через нос | На выдохе издай ровный гудящий звук «ммм» | Почувствуй вибрацию в лице и груди | Сделай 5-8 циклов | Выдох длиннее вдоха;none;Успокаивает ум и нервную систему, снижает тревогу, улучшает концентрацию, помогает при бессоннице, создаёт внутреннюю тишину.;breath,calmness,vibration,sleep,anxiety_relief
144;Ситали пранаяма;yoga;10;2;low;false;false;1;21;70;Сядь удобно | Сверни язык трубочкой, высунь слегка | Вдохни через рот, ощущая прохладу | Выдохни через нос | Повтори 5-10 циклов | Закрой рот и подыши носом;high_pressure,fever;Охлаждает тело, снижает жар, успокаивает ум, уменьшает гнев, освежает в жару.;breath,cooling,calmness,anger_management,summer
145;Ситкари пранаяма;yoga;2;2;low;false;false;1;21;70;Сядь удобно | Сожми зубы, губы слегка раздвинуты | Вдохни через зубы со звуком «сссс» | Выдохни через нос | Повтори 5-10 циклов | Закрой рот;high_pressure,fever;Охлаждает тело, успокаивает ум, освежает, снижает жар, альтернатива Ситали для тех, кто не может свернуть язык.;breath,cooling,calmness,refreshing,summer
146;Капалабхати (мягкая версия);yoga;3;3;medium;false;false;1;21;60;Сядь прямо с активным корпусом | Сделай серию коротких активных выдохов носом | Живот мягко подтягивается на выдохе, вдохи пассивные | Начни с 20-30 выдохов в комфортном темпе | Отдохни, дыши спокойно;high_pressure,pregnancy,heart_disease,hernia;Очищает дыхательные пути, активирует ум, даёт энергию, массирует органы живота, готовит к медитации.;breath,energizing,cleansing,activation,advanced
147;Бхастрика (подготовительная);yoga;4;4;high;false;false;1;21;60;Сядь прямо | Сделай 10-15 энергичных одинаковых вдохов и выдохов через нос | Затем пауза и спокойное дыхание | Повтори 2-3 раунда | Только если нет головокружения;high_pressure,pregnancy,heart_disease,epilepsy;Активирует тело и ум, даёт мощный заряд энергии, очищает каналы, разогревает, требует осторожности.;breath,energizing,activation,heat,advanced
148;Дыхание 4-6;yoga;5;2;low;false;false;1;21;70;Сядь или ляг удобно | Вдох через нос на 4 счёта | Выдох через нос на 6 счётов | Сохраняй ровный ритм 2-5 минут | Наблюдай, как тело постепенно успокаивается;none;Активирует парасимпатическую систему, глубоко успокаивает, снижает стресс и тревогу, улучшает вариабельность сердечного ритма.;breath,relaxation,calmness,stress_relief,heart
149;Дыхание 4-7-8;yoga;8;3;medium;false;false;1;21;70;Вдохни через нос на 4 счёта | Задержи дыхание на 7 счётов | Медленно выдохни через рот или нос на 8 счётов | Начни с 3-4 циклов | Без перенапряжения;high_pressure,pregnancy;Глубоко расслабляет, помогает заснуть, снижает тревогу, успокаивает нервную систему, техника доктора Вейла.;breath,sleep,relaxation,anxiety_relief,evening
150;Трёхчастное дыхание (Dirga);yoga;10;2;low;false;false;1;21;70;Ляг или сядь удобно | Вдыхай последовательно: живот, рёбра, грудь | Выдыхай в обратном порядке: грудь, рёбра, живот | Дыши медленно и полно | Продолжай 5-10 минут;none;Учит полному йоговскому дыханию, улучшает ёмкость лёгких, успокаивает, развивает осознанность дыхания, основа для пранаямы.;breath,foundational,awareness,calmness,full_breath
151;Подсчёт дыханий 1–10;yoga;2;1;low;false;false;1;21;70;Сядь удобно с прямой спиной | Считай дыхания от 1 до 10 | Один цикл вдох-выдох = 1 | Если отвлёкся, мягко начни снова с 1 | Без оценки себя | Продолжай 5-10 минут;none;Развивает концентрацию, успокаивает ум, учит возвращать внимание без самокритики, простая техника для начинающих.;breath,focus,calmness,beginner,concentration
152;Резонансное дыхание (~6 в/мин);yoga;3;2;low;false;false;1;21;70;Сядь или ляг удобно | Дыши через нос в ритме около 5-6 дыханий в минуту | Примерно вдох 5 секунд, выдох 5-6 секунд | Продолжай ровно, не форсируя глубину | 5-20 минут;none;Оптимизирует вариабельность сердечного ритма, балансирует нервную систему, снижает стресс, улучшает здоровье сердца.;breath,balance,heart,stress_relief,healing
153;Пранаяма перед сном;yoga;4;2;low;false;false;1;21;70;Ляг в постели | Дыши через нос, удлиняя выдох | Расслабь тело с каждым выдохом | Отпускай мысли о дне | Продолжай до засыпания;none;Готовит ко сну, успокаивает нервную систему, снижает тревогу, помогает отпустить дневные заботы, улучшает качество сна.;breath,sleep,relaxation,evening,bedtime
154;Дыхание через нос в ходьбе;yoga;5;1;low;false;false;1;21;70;Иди в обычном темпе | Дыши только через нос | Синхронизируй дыхание с шагами | Если задыхаешься, замедли темп | Продолжай 10-20 минут;none;Улучшает носовое дыхание, тренирует дыхательную систему, успокаивает ум, развивает выносливость, полезно для здоровья.;breath,walking,endurance,health,mindfulness
155;Осознанная пауза на 3 дыхания;yoga;8;1;low;false;false;3;21;70;Остановись на месте где бы ты ни был | Сделай 3 медленных осознанных дыхания | Замечай вдох, выдох и ощущения в теле | На третьем выдохе задай намерение следующего действия | Продолжай день;none;Создаёт паузу между стимулом и реакцией, возвращает в настоящий момент, снижает реактивность, развивает осознанность в течение дня.;breath,mindfulness,pause,awareness,daily_practice
156;Симхасана с львиным дыханием;yoga;10;2;low;false;false;1;21;70;Сядь на пятки или в удобную позу | Вдохни через нос | На выдохе высунь язык, широко открой глаза и рот, издай звук «ха» | Повтори 3-5 раз | Расслабь лицо;none;Снимает напряжение с лица и челюсти, освобождает горло, выпускает эмоции, улучшает настроение, забавная практика.;breath,release,face,playful,tension_relief
157;Осознанное дыхание (сидя);meditation;1;1;low;false;true;1;21;70;Сядь удобно с прямой но мягкой спиной | Закрой глаза | Наблюдай дыхание, не меняя его | Когда ум уходит, мягко возвращайся к дыханию | Без самокритики | Продолжай 1-20 минут;none;Основа медитации осознанности, развивает концентрацию, успокаивает ум, учит наблюдать без оценки, доступна всем.;meditation,breath,mindfulness,beginner,foundational
158;Медитация на дыхании 10 минут;meditation;5;1;low;false;true;1;14;70;Сядь удобно с прямой спиной | Закрой глаза | Наблюдай дыхание в ноздрях или животе | Когда отвлекаешься, мягко возвращайся | Продолжай 10 минут | Медленно открой глаза;none;Развивает устойчивую концентрацию, успокаивает ум, снижает стресс, улучшает осознанность, основа регулярной практики.;meditation,breath,focus,calmness,daily_practice
159;Body Scan (сканирование тела);meditation;7;1;low;false;true;1;14;70;Ляг или сядь удобно | Закрой глаза | Медленно проведи вниманием от стоп к макушке | По 1-2 дыхания на каждую зону | Замечай ощущения без попыток их изменить | Тепло, напряжение, контакт с опорой;none;Развивает осознанность тела, снимает напряжение, успокаивает ум, помогает заснуть, учит принятию ощущений.;meditation,body,awareness,relaxation,sleep
160;Body Scan перед сном;meditation;8;1;low;false;true;1;14;70;Ляг в постели | Закрой глаза | Медленно сканируй тело от стоп к макушке | Расслабляй каждую часть тела | Если заснёшь в процессе — это нормально | Отпускай день с каждым выдохом;none;Готовит ко сну, глубоко расслабляет тело, успокаивает ум, помогает при бессоннице, отпускает дневное напряжение.;meditation,body,sleep,relaxation,evening
161;Медитация звуков;meditation;10;1;low;false;true;1;14;70;Сядь удобно | Закрой глаза | Слушай все звуки вокруг без оценки: близкие, дальние, громкие, тихие | Замечай паузы и тишину между звуками | Возвращайся к слушанию при отвлечении | 10-20 минут;none;Развивает осознанность слуха, успокаивает ум, учит принятию без оценки, расширяет восприятие, подходит для городских условий.;meditation,sound,awareness,acceptance,mindfulness
162;Открытое осознавание;meditation;12;3;low;false;true;1;14;70;Сядь удобно | Начни с наблюдения дыхания | Постепенно расширяй осознанность на все ощущения | Звуки, мысли, эмоции, телесные ощущения | Наблюдай всё что возникает без фокуса на чём-то одном | 10-20 минут;none;Развивает широкое осознавание, учит быть с любым опытом, углубляет медитацию, требует практики концентрации.;meditation,awareness,advanced,openness,presence
163;Медитация мыслей как событий;meditation;15;2;low;false;true;1;14;70;Сядь удобно | Наблюдай мысли как облака на небе | Замечай когда мысль появляется, остаётся, уходит | Не вовлекайся в содержание | Возвращайся к наблюдению | Мысли — просто события в уме;none;Развивает дистанцию от мыслей, снижает реактивность, учит не отождествляться с мыслями, помогает при тревоге.;meditation,thoughts,awareness,detachment,anxiety_relief
164;Медитация чувств в теле;meditation;1;2;low;false;true;1;14;70;Сядь удобно | Замечай эмоции как ощущения в теле | Где живёт грусть, радость, тревога | Наблюдай без попыток изменить | Дыши в эту область | Чувства приходят и уходят;none;Развивает осознанность эмоций, учит быть с чувствами, снижает эмоциональную реактивность, помогает при сложных состояниях.;meditation,emotions,body,awareness,acceptance
165;Медитация любящей доброты (Metta);meditation;5;2;low;false;true;1;14;70;Сядь спокойно | Начни с себя: «Пусть я буду в безопасности, здоров, спокоен, счастлив» | Затем близкий человек | Нейтральный человек | Все существа | Повторяй фразы, чувствуя пожелание;none;Развивает доброжелательность и сострадание, улучшает отношения, снижает самокритику, повышает благополучие, исцеляет сердце.;meditation,metta,compassion,kindness,healing
166;Метта для себя;meditation;7;2;low;false;true;1;14;70;Сядь спокойно | Представь себя | Повторяй: «Пусть я буду в безопасности, здоров, спокоен, счастлив» | Почувствуй искреннее пожелание себе | Если сложно, представь себя ребёнком | 5-10 минут;none;Развивает самосострадание, снижает самокритику, исцеляет отношения с собой, укрепляет внутреннюю поддержку.;meditation,metta,self_compassion,healing,kindness
167;Метта для близкого;meditation;8;2;low;false;true;1;14;70;Сядь спокойно | Представь близкого человека | Повторяй: «Пусть ты будешь в безопасности, здоров, спокоен, счастлив» | Почувствуй тепло и пожелание добра | Продолжай 5-10 минут;none;Укрепляет связь с близкими, развивает любовь и заботу, улучшает отношения, наполняет сердце теплом.;meditation,metta,relationships,love,connection
168;Метта для нейтрального человека;meditation;10;2;low;false;true;1;14;70;Сядь спокойно | Представь человека, к которому нейтрален (кассир, сосед) | Повторяй фразы доброжелательности | Помни, что он тоже хочет быть счастливым | Расширяй круг заботы;none;Расширяет круг сострадания, развивает равностность, учит видеть человечность в каждом, преодолевает безразличие.;meditation,metta,compassion,equality,expansion
169;Метта для трудного человека;meditation;12;3;low;false;true;1;14;70;Сядь спокойно | Начни с себя и близких для разогрева сердца | Затем представь слегка трудного человека (не самого сложного) | Повторяй фразы доброжелательности | Помни: он страдает, как и все | Будь мягок с собой;none;Исцеляет обиды, развивает прощение, освобождает от гнева, требует готовности и практики, глубоко трансформирует.;meditation,metta,forgiveness,healing,advanced
170;Сострадательная медитация;meditation;15;2;low;false;true;1;14;70;Сядь удобно | Представь страдающего человека или себя в трудности | Почувствуй сострадание | Повторяй: «Пусть ты освободишься от страдания» | Дыши в область сердца | Посылай тепло и поддержку;none;Развивает глубокое сострадание, исцеляет сердце, помогает быть с болью других и своей, трансформирует страдание в заботу.;meditation,compassion,healing,heart,empathy
171;RAIN для сложной эмоции;meditation;1;2;low;false;false;1;14;70;Когда чувствуешь сложную эмоцию, остановись | Recognize: назови чувство | Allow: разреши ему быть | Investigate: заметь где оно в теле, какие мысли рядом | Nurture: поддержи себя добрым словом или жестом;none;Помогает работать со сложными эмоциями, развивает самосострадание, учит быть с трудным опытом, снижает реактивность.;meditation,emotions,self_compassion,RAIN,coping
172;Медитация самосострадания;meditation;5;2;low;false;true;1;14;70;Заметь трудный момент | Скажи себе: «Мне сейчас трудно» (осознание) | «Трудности — часть человеческого опыта» (общность) | «Пусть я буду добрее к себе прямо сейчас» (доброта) | Положи руку на сердце | Дыши мягко;none;Развивает самосострадание в трудные моменты, снижает самокритику, помогает быть с болью, укрепляет внутреннюю поддержку.;meditation,self_compassion,kindness,support,healing
173;Медитация благодарности;meditation;7;1;low;false;true;1;14;70;Сядь на несколько минут | По очереди удерживай в уме 3 вещи или людей, за которые благодарен | На каждую — 2-3 дыхания | Замечай телесный отклик: тепло, расширение, мягкость | Завершай с чувством благодарности;none;Повышает благополучие, улучшает настроение, развивает позитивный фокус, укрепляет отношения, исцеляет сердце.;meditation,gratitude,wellbeing,positivity,heart
174;Медитация прощения (мягкая);meditation;8;3;low;false;true;1;14;70;Сядь удобно | Представь ситуацию, где хочешь простить (себя или другого) | Не форсируй прощение | Просто будь с болью и намерением отпустить | Повторяй: «Насколько могу, я прощаю» | Будь терпелив к процессу;none;Начинает процесс прощения, освобождает от обид, исцеляет сердце, требует времени и повторения, мягкий подход.;meditation,forgiveness,healing,release,gentle
175;Медитация на намерение дня;meditation;10;1;low;true;false;1;14;70;Утром сядь на 5-10 минут | Подумай о предстоящем дне | Задай себе вопрос: «Как я хочу прожить этот день?» | Выбери одно качество или намерение (доброта, терпение, присутствие) | Представь себя живущим с этим намерением;none;Задаёт направление дню, развивает осознанность намерений, помогает жить в соответствии с ценностями, улучшает качество дня.;meditation,intention,morning,values,direction
176;Медитация наблюдения эмоций;meditation;12;2;low;false;true;1;14;70;Сядь удобно | Наблюдай эмоции, которые возникают | Замечай их как погоду: приходят и уходят | Не вовлекайся, не отталкивай | Называй: «радость», «тревога», «скука» | Возвращайся к дыханию;none;Развивает осознанность эмоций, учит не отождествляться с чувствами, снижает эмоциональную реактивность, помогает при перепадах настроения.;meditation,emotions,awareness,equanimity,detachment
177;Пауза между стимулом и реакцией;meditation;15;2;low;false;false;3;21;70;В течение дня замечай импульс отреагировать | Сделай паузу: 1-3 дыхания | Почувствуй тело, эмоцию | Спроси: «Как я хочу ответить?» | Выбери осознанно | Практикуй регулярно;none;Развивает осознанность в действиях, снижает импульсивность, улучшает отношения, учит выбору вместо автоматизма.;meditation,mindfulness,response,choice,daily_practice
178;Медитация на дыхание и счёт;meditation;1;1;low;false;true;1;14;70;Сядь удобно | Считай дыхания: вдох-выдох = 1, следующий вдох-выдох = 2 | Считай до 10, затем начинай снова | Если сбился, начни с 1 | Без самокритики | 10-20 минут;none;Развивает концентрацию, успокаивает ум, простая техника для начинающих, помогает заметить отвлечения.;meditation,breath,counting,focus,beginner
179;Стоячая медитация;meditation;5;1;low;false;false;1;14;70;Встань устойчиво, ноги на ширине плеч | Закрой глаза или мягкий взгляд вниз | Почувствуй стопы, вес тела, дыхание | Наблюдай ощущения стояния | Возвращайся к телу при отвлечении | 5-15 минут;none;Развивает осознанность тела, альтернатива сидячей медитации, укрепляет ноги, подходит при сонливости или боли в спине.;meditation,standing,body,awareness,alternative
180;Медитация ходьбы (короткая);meditation;7;1;low;false;false;1;14;70;Иди медленнее обычного | Перенеси внимание на шаг: подъём стопы, перенос, касание | Если ум уходит в мысли, мягко вернись к ощущениям ног и дыханию | 5-10 минут | Можно дома или на улице;none;Развивает осознанность движения, альтернатива сидячей медитации, успокаивает ум, подходит для активных людей.;meditation,walking,movement,mindfulness,active
181;Медитация ходьбы (длинная);meditation;8;1;low;false;false;1;14;70;Иди медленнее обычного на природе или в парке | Перенеси внимание на шаг, дыхание, окружение | Чередуй фокус: стопы, дыхание, звуки, виды | 15-30 минут | Возвращайся к ощущениям при отвлечении;none;Развивает глубокую осознанность, соединяет с природой, успокаивает ум, подходит для длительной практики на свежем воздухе.;meditation,walking,nature,mindfulness,extended
182;Медитация осознанного питания;meditation;10;2;low;false;false;1;14;70;Возьми небольшую порцию еды (изюм, орех) | Рассмотри, понюхай, почувствуй текстуру | Медленно положи в рот, не жуя | Затем медленно прожуй, замечая вкус и ощущения | Проглоти осознанно | 5-10 минут на небольшую порцию;none;Развивает осознанность в еде, помогает с перееданием, учит замедляться, улучшает отношения с пищей, развивает благодарность.;meditation,eating,mindfulness,awareness,gratitude
183;Медитация с чашкой чая;meditation;12;1;low;false;false;1;14;70;Завари чай осознанно | Держи чашку, почувствуй тепло | Понюхай аромат | Сделай первый глоток медленно, замечая вкус | Продолжай пить осознанно | Будь полностью с процессом 10-15 минут;none;Превращает обычное действие в медитацию, развивает осознанность, учит присутствию, создаёт паузу в дне, успокаивает.;meditation,tea,mindfulness,ritual,presence
184;Медитация перед сном на дыхание;meditation;15;1;low;false;true;1;14;70;Ляг удобно в постели | Удлини выдох | Считай дыхания или наблюдай движения живота | Если приходят мысли, отмечай их как «мысль» и возвращайся к дыханию | Продолжай до засыпания;none;Готовит ко сну, успокаивает ум, помогает при бессоннице, отпускает дневные заботы, улучшает качество сна.;meditation,sleep,breath,bedtime,insomnia
185;Медитация на пространство тела;meditation;1;2;low;false;true;1;14;70;Сядь или ляг удобно | Почувствуй пространство внутри тела | Пространство в животе, груди, голове | Наблюдай как дыхание движется в этом пространстве | Расширяй осознанность пространства | 10-15 минут;none;Развивает тонкую осознанность тела, создаёт ощущение простора, успокаивает, помогает при тревоге и зажатости.;meditation,body,space,awareness,subtle
186;Медитация на звуки и тишину;meditation;5;1;low;false;true;1;14;70;Сядь удобно | Слушай все звуки без оценки | Особенно замечай паузы и тишину между звуками | Тишина — тоже звук | Возвращайся к слушанию при отвлечении | 10-20 минут;none;Развивает осознанность звука и тишины, успокаивает ум, учит замечать паузы, углубляет восприятие, подходит для любых условий.;meditation,sound,silence,awareness,depth
187;Сидеть и не исправлять;meditation;7;2;low;false;true;1;14;70;Сядь удобно | Позволь всему быть как есть | Не пытайся исправить дыхание, мысли, ощущения | Просто наблюдай | Практикуй принятие того, что есть | 10-20 минут;none;Развивает принятие, учит отпускать контроль, успокаивает ум, помогает при перфекционизме, углубляет медитацию.;meditation,acceptance,letting_go,presence,non_doing
188;Мини-медитация 1 минута;meditation;8;1;low;false;false;10;21;70;Остановись где бы ты ни был | Почувствуй стопы на полу | Сделай 3 медленных вдоха и выдоха | На последнем выдохе задай намерение на следующий шаг | Продолжай день | Повторяй несколько раз в день;none;Создаёт паузы в течение дня, возвращает в настоящий момент, снижает стресс, доступна везде, развивает регулярность практики.;meditation,mini,pause,grounding,daily_practice
189;Осознанные 3 вдоха;meditation;10;1;low;false;false;10;21;70;В любой момент дня остановись | Сделай 3 осознанных вдоха и выдоха | Замечай начало вдоха, середину, конец | То же с выдохом | Возвращайся к тому, что делал | Практикуй регулярно;none;Простейшая практика осознанности, доступна везде, снижает стресс, возвращает в момент, можно делать много раз в день.;meditation,breath,mini,simple,accessible
190;Медитация благодарности телу;meditation;12;1;low;false;true;1;14;70;Сядь или ляг удобно | Мысленно пройдись по телу | Благодари каждую часть за её работу | Сердце за биение, ноги за ходьбу, руки за действия | Почувствуй благодарность к телу | 10-15 минут;none;Улучшает отношения с телом, развивает благодарность, исцеляет критику тела, повышает самопринятие, наполняет теплом.;meditation,gratitude,body,healing,self_acceptance
191;Медитация доброжелательности к незнакомцам;meditation;15;2;low;false;true;1;14;70;Сядь спокойно | Представь незнакомых людей на улице | По очереди посылай им доброжелательность | «Пусть ты будешь счастлив» | Расширяй круг заботы на всех | 10-15 минут;none;Расширяет сострадание на всех людей, развивает связь с человечеством, преодолевает отчуждение, наполняет сердце.;meditation,metta,strangers,compassion,connection
192;Медитация на принятие;meditation;1;2;low;false;true;1;14;70;Сядь удобно | Замечай что сопротивляешься принять (боль, эмоцию, ситуацию) | Мягко повторяй: «Пусть будет так, как есть» | Не форсируй принятие | Просто открывайся возможности | 10-15 минут;none;Развивает принятие, снижает сопротивление реальности, уменьшает страдание, учит быть с тем, что есть, приносит покой.;meditation,acceptance,peace,letting_go,surrender
193;Медитация на ценности;meditation;5;2;low;false;true;1;14;70;Сядь спокойно | Подумай о своих главных ценностях | Выбери одну (доброта, честность, любовь) | Почувствуй её в теле | Представь себя живущим в соответствии с ней | 10-15 минут;none;Проясняет ценности, помогает жить осознанно, усиливает мотивацию, создаёт направление, улучшает решения.;meditation,values,clarity,direction,meaning
194;Медитация «гора»;meditation;7;2;low;false;true;1;14;70;Сядь устойчиво | Представь себя горой | Устойчивой, неподвижной, спокойной | Погода меняется вокруг, но гора остаётся | Мысли и эмоции — как погода | Ты — гора | 10-15 минут;none;Развивает устойчивость, учит быть с изменениями, создаёт внутреннюю опору, помогает при тревоге и переменах.;meditation,stability,metaphor,grounding,resilience
195;Медитация «озеро»;meditation;8;2;low;false;true;1;14;70;Сядь или ляг удобно | Представь себя озером | Поверхность может быть неспокойной | Но глубина всегда тиха | Опускайся в глубину | Находи тишину под волнами | 10-15 минут;none;Развивает доступ к внутренней тишине, учит находить покой под поверхностью эмоций, успокаивает, даёт перспективу.;meditation,stillness,metaphor,depth,peace
196;Утренняя мини-медитация телесного check-in;meditation;10;1;low;true;false;1;21;70;Утром перед подъёмом ляг ещё минуту | Быстро просканируй тело | Как себя чувствуешь физически и эмоционально | Задай намерение на день | Встань осознанно;none;Начинает день с осознанности, помогает настроиться, замечает состояние тела, задаёт тон дню, занимает 1-2 минуты.;meditation,morning,body,check_in,intention
197;Три хороших события;reflection;5;1;low;false;false;1;14;70;Вечером возьми блокнот | Запиши 3 события, которые сегодня прошли хорошо | Для каждого добавь 1-2 предложения: что именно произошло и почему это стало возможным | Перечитай;none;Развивает позитивный фокус, повышает благополучие, улучшает сон, тренирует благодарность, простая ежедневная практика.;reflection,gratitude,positivity,wellbeing,journaling
198;Лучшее возможное Я;reflection;7;2;low;false;false;1;14;70;Возьми 5-10 минут на письмо | Опиши себя через 1-3 года в реалистичном лучшем сценарии | Как ты живёшь, работаешь, заботишься о себе | Затем выпиши один маленький шаг на эту неделю | Сохрани описание;none;Проясняет цели, мотивирует, создаёт позитивное видение, помогает планировать, повышает оптимизм и благополучие.;reflection,vision,goals,motivation,future
199;Выражающее письмо (Expressive Writing);reflection;10;2;low;false;false;1;14;70;Возьми 5-10 минут на запись | Опиши ситуацию фактами | Назови чувства | Ответь письменно: что важно, чему это учит, какой самый маленький следующий шаг возможен | Не перечитывай сразу;none;Помогает обработать эмоции, проясняет ситуации, снижает стресс, развивает инсайты, исцеляет через письмо.;reflection,writing,emotions,processing,healing
200;Ментальное вычитание отношений;reflection;12;2;low;false;false;1;14;70;Возьми 5-10 минут | Представь, что важного человека нет в твоей жизни | Как бы выглядела жизнь без него | Затем вернись к реальности | Почувствуй благодарность за его присутствие | Запиши мысли;none;Усиливает благодарность за отношения, помогает не принимать людей как должное, улучшает ценность связей, наполняет теплом.;reflection,gratitude,relationships,appreciation,perspective
201;Поиск серебряных линий;reflection;15;2;low;false;false;1;14;70;Вспомни трудную ситуацию | Запиши что в ней было сложного | Затем найди хотя бы одну положительную сторону или урок | Что ты узнал, как вырос, кого встретил | Запиши выводы;none;Помогает находить смысл в трудностях, развивает устойчивость, меняет перспективу, снижает страдание от прошлого.;reflection,resilience,meaning,growth,reframing
202;Перспектива на негативное событие;reflection;20;2;low;false;false;1;14;70;Возьми трудное событие | Запиши факты без эмоций | Опиши чувства | Ответь: что важно, чему это учит, какой следующий шаг | Посмотри на ситуацию с разных сторон | Найди один позитивный аспект;none;Помогает обработать негативный опыт, развивает перспективу, снижает эмоциональную реактивность, находит уроки.;reflection,perspective,processing,growth,coping
203;Письмо благодарности;reflection;30;2;low;false;false;1;14;70;Выбери человека, которому благодарен | Напиши письмо: за что именно благодарен, как это повлияло на тебя, что вспоминается | Пиши конкретику, а не общие слова | Можешь отправить или просто написать;none;Глубоко усиливает благодарность, улучшает отношения, повышает благополучие, исцеляет сердце, создаёт связь.;reflection,gratitude,relationships,writing,connection
204;Визит благодарности;reflection;5;3;low;false;false;1;14;70;Напиши письмо благодарности | Договорись о встрече с этим человеком | Прочитай письмо вслух при встрече | Будь с эмоциями, которые возникают | Это мощная практика;none;Одна из самых мощных практик благополучия, глубоко трогает обоих, укрепляет связи, требует смелости, трансформирует.;reflection,gratitude,relationships,courage,powerful
205;Дневник благодарности (5 пунктов);reflection;7;1;low;false;false;1;14;70;Каждый вечер записывай 5 вещей, за которые благодарен сегодня | Будь конкретен: не «семья», а «муж приготовил ужин» | Варьируй большое и малое | Перечитывай иногда;none;Тренирует благодарность, повышает благополучие, улучшает сон, меняет фокус на позитивное, простая ежедневная практика.;reflection,gratitude,daily_practice,wellbeing,journaling
206;Дневник «что я контролирую»;reflection;10;2;low;false;false;1;14;70;Раздели лист на 2 колонки: «зависит от меня» и «не в моей власти» | Перенеси текущие заботы по колонкам | Выбери 1 действие только из первой колонки | Отпусти вторую;none;Помогает фокусироваться на контролируемом, снижает тревогу, развивает мудрость различения, даёт ясность действий.;reflection,control,anxiety_relief,clarity,wisdom
207;WOOP: желание–результат–препятствие–план;reflection;12;2;low;false;false;1;14;70;Wish: чего хочу | Outcome: лучший результат | Obstacle: внутреннее препятствие | Plan: если X (препятствие), то я сделаю Y | Сформулируй план одной фразой «если-то»;none;Помогает достигать целей, готовит к препятствиям, повышает вероятность успеха, развивает планирование, научно обоснована.;reflection,goals,planning,obstacles,strategy
208;WOOP для одного шага сегодня;reflection;15;2;low;false;false;1;21;70;Примени WOOP к одному маленькому шагу сегодня | Желание: что хочу сделать | Результат: что получу | Препятствие: что может помешать | План: если-то | Выполни сегодня;none;Делает цели достижимыми, помогает с прокрастинацией, готовит к трудностям, повышает выполнение, подходит для ежедневного использования.;reflection,goals,action,daily_practice,execution
209;WOOP для привычки;reflection;20;2;low;false;false;1;14;70;Выбери привычку, которую хочешь создать | Примени WOOP | Особенно важно: какое внутреннее препятствие (лень, страх, усталость) | План: конкретное действие при препятствии | Практикуй регулярно;none;Помогает создавать привычки, готовит к внутренним препятствиям, повышает успех, развивает самоконтроль, работает долгосрочно.;reflection,habits,planning,obstacles,self_control
210;Письмо поддержки себе;reflection;30;2;low;false;false;1;14;70;Представь, что пишешь другу в трудности | Напиши себе письмо поддержки | Признай боль, вырази понимание, предложи перспективу, напомни о силе | Пиши с теплом и заботой | Сохрани и перечитывай;none;Развивает самосострадание, создаёт внутреннюю поддержку, помогает в трудные моменты, исцеляет самокритику, наполняет теплом.;reflection,self_compassion,support,writing,healing
211;Рефлексия ценностей;reflection;5;2;low;false;false;1;14;70;Запиши 3-5 главных ценностей | Для каждой: почему важна, как проявляется в жизни, где хочешь больше | Выбери одно действие на неделю в соответствии с ценностью;none;Проясняет ценности, помогает жить осознанно, создаёт направление, усиливает мотивацию, улучшает решения.;reflection,values,clarity,direction,meaning
212;Рефлексия сильных сторон;reflection;7;2;low;false;false;1;14;70;Выбери 1 свою сильную сторону (настойчивость, юмор, доброта) | Запиши где она уже помогла | Придумай один новый способ применить её завтра | Используй осознанно;none;Развивает осознанность сильных сторон, повышает самооценку, помогает использовать ресурсы, улучшает благополучие.;reflection,strengths,self_awareness,resources,wellbeing
213;Использование сильной стороны по-новому;reflection;10;2;low;false;false;1;14;70;Выбери сильную сторону | Каждый день неделю используй её новым способом | Записывай как использовал | Замечай влияние на настроение и ситуации | Рефлексируй в конце недели;none;Усиливает сильные стороны, повышает благополучие, развивает креативность в использовании ресурсов, улучшает настроение.;reflection,strengths,creativity,wellbeing,practice
214;Вопросы к событию дня;reflection;12;2;low;false;false;1;14;70;Выбери значимое событие дня | Ответь письменно: Что произошло (факты) | Что почувствовал | Что важно | Чему учит | Что сделаю иначе | Запиши выводы;none;Помогает извлекать уроки из опыта, развивает рефлексию, углубляет обучение, превращает опыт в мудрость.;reflection,learning,growth,wisdom,journaling
